REF,DOMN,INV,MUSEO,STAT,DENO,APPL,TITR,AUTR,ROLE,PAUT,GENRE,ECOL,ATTR,PERI,MILL,EPOQ,MILU,PEOC,GENE,HIST,LIEUX,PLIEUX,GEOHI,LOCA_PROV,PERU,DECV,PDEC,UTIL,PUTI,TECH,DIMS,INSC,PINS,ONOM,DESC,REPR,PREP,DREP,SREP,DACQ,APTN,DEPO,DDPT,ADPT,DATION,MANQUANT,MANQUANT_COM,COMM,EXPO,BIBL,DMIS,DMOIS,DMAJ,REDA,PHOT,DATA,LOCA3,IA,REFPAL,REFMEM,REFMER,REGION,DPT,VILLE_M,NOMOFF,LOCA,custom_LOCA
Référence de la notice,Domaine,Numéro d'inventaire,Lien Muséofile,Statut juridique,Dénomination,Appellation,Titre,Auteur,Rôle,Précisions sur l'auteur,Genre du ou des auteurs,École (pays),Anciennes attributions,Période de création,Millésime de création,Époque,Millésime d'utilisation,Période de l'original copié,Genèse,Historique,Lieu de création / utilisation,"Précisions sur le lieu de création, d'exécution ou d'utilisation",Lieu historique,Provenance du bien,Période d'utilisation,Découverte / collecte,Précisions sur la découverte ou la collecte,Utilisation / destination,Précisions sur l'utilisation,Matériaux et techniques,Mesures,Inscriptions,Précisions sur les inscriptions,Onomastique,Description,Sujet représenté,Précisions sur le sujet représenté,Date du sujet représenté,Source de la représentation,Date d'acquisition,Anciennes appartenances,Lieu de dépôt,Date de dépôt,Ancien dépôt,Dation,Situation particulière,Précisions sur une situation particulière,Commentaires,Exposition,Bibliographie,Date de création,Date de moissonnage de la notice,Date de mise à jour,Rédacteur de la notice,Crédits photographiques,Artiste sous droits,Année d'entrée dans le domaine public,Droits de reproduction et de représentation,Références Palissy liées,Références Mémoire liées,Références Mérimée liées,Région,Département,Ville,Nom du musée,Localisation,Lieu de conservation
50030025166,sculpture ; médiéval,"Cl. 23186 ; A.E.B. 266 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,chapiteau,,Chapiteau avec ange (cathédrale Notre-Dame de Paris),,,,,,,3e quart 13e siècle,1258 avant,,,,,Il provient du trumeau et la position de l'ange indique qu'il se trouvait sur la face occidentale de la cathédrale Notre-Dame de Paris (flanc nord) ; Viollet-le-Duc a remplacé ce chapiteau par une copie au milieu du XIXe siècle,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 35 ; Largeur en cm : 30 ; Profondeur en cm : 28,,,,Le lit de pose et le lit d'attente sont partiellement conservés ainsi que la tranche droite qui s'appuyait contre la maçonnerie. (Source : Cat. sculptures de Notre-Dame de Paris),"figure (ange, chapiteau, laurier, chêne)","Chapiteau formé de quatre fragments. Présente sur sa face un ange, vêtu d'une longue robe, agenouillé et tourné vers sa droite. La tête de l'ange, la partie droite de sa poitrine et le milieu de son corps ont disparu. La figure est entourée de feuillages de chêne, de lierre et d'églantier",,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,"Vic, museu episcopal, exposition 'Têtes de Notre-Dame', échange de prêts dans le cadre de l'exposiotn 'Catalogne romane-sculptures du val de Boi'","Erlande-Brandenburg et Kimpel, 'La statuaire de Notre-Dame de Paris avant les destructions révolutionnaires', 1978, p. 213-266. (p. 213-266)#Erlande-Brandenburg (Alain). - Les Sculptures de Notre-Dame de Paris au musée de Cluny. - Paris : Réunion des musées nationaux, 1982. - 131 p. : ill. ; 27 cm. (n° 266)",2007-03-30,,2026-02-23,,© RAUX ; © Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030025170,sculpture ; médiéval,"RF 996 ; A.E.B. 32 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; attribution ; musée du Louvre département des Sculptures,relief,,"Pèsement des âmes, une Elue (cathédrale Notre-Dame de Paris)",,,,,,,1ère moitié 13e siècle,1220 entre ; 1230 et,,,,objet en rapport,,France ; Ile-de-France ; Paris (lieu de création),,,,,,,,,haut-relief ; calcaire,Hauteur en cm : 51 ; Largeur en cm : 25,,,,,"figure (Elu, femme, couronne)","Fragment de haut-relief figurant une jeune femme la tête levée, couverte d'un voile dont la couronne se devine encore, et le corps revêtu d'une robe à col rond. Usé et épaufré du fait de sa longue exposition extérieure. Cette statue provient du portail central de l'église Notre-Dame de Paris, démolition en 1771; La restauration de la cathédrale de Notre-Dame de Paris s'effectua sous la direction Viollet-le-Duc Eugène Emmanuel en 1853.#Ensemble composé de 4 éléments : La Résurrection des Morts (Cl. 18643 a et b, Cl. 18643 c), Deux damnés (Cl. 18643 d), Pèsement des âmes, une Elue (RF 996)",,,1953 entrée matérielle,"Collection publique, propriété de l'Etat ; attribution ; musée du Louvre département des Sculptures, 1894",dépôt ; Paris ; musée national du Moyen Age - Thermes de Cluny,1953,,,,,,,"Description raisonnée des sculptures du musée du Louvre, t. 1, Le Moyen Age. (n° 108, p. 86-87)#Thirion J., 'Les plus anciennes sculptures de Notre-Dame de Paris', dans Comptes-rendus de l'Académie des inscriptions et belles-lettres, 1970, pp. 85-112 (p. 85-112)#Erlande-Brandenburg (A.), in Bulletin Monumental, 'Aspects du mécénat de Charles V : la sculpture décorative'. Paris : Société Française d'Archéologie, 1972., tome 130-IV, p. 303-346.#Erlande-Brandenburg et Kimpel, 'La statuaire de Notre-Dame de Paris avant les destructions révolutionnaires', 1978, p. 213-266.#Erlande-Brandenburg (Alain). - Les Sculptures de Notre-Dame de Paris au musée de Cluny. - Paris : Réunion des musées nationaux, 1982. - 131 p. : ill. ; 27 cm. (n° 32)",2007-03-30,,2026-02-23,,© RAUX ; © Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030025185,sculpture ; médiéval,"Cl. 22926 ; A.E.B. 64 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,"Fragment de statue d'apôtre, partie inférieure (cathédrale Notre-Dame de Paris)",,,,,,,1er quart 13e siècle,1220,,,,objet en rapport,"provient de la cathédrale Notre-Dame de Paris, portail sainte Anne ; numéros d'inventaire des fragments de statue d'apôtre en rapport : Cl. 22917, Cl. 22919, Cl. 22922, Cl. 22923, Cl. 22924, Cl. 22925, Cl. 22926, Cl. 22930, Cl. 22935, Cl. 22936, Cl. 22939, Cl. 22941, Cl. 22951, Cl. 22959, Cl. 22960, Cl. 22965 b, , Cl. 22967, Cl. 22968, Saint Paul (Cl. 14417)",France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 52 ; Largeur en cm : 47 ; Profondeur en cm : 32,,,,,"figure (Apôtre, robe)","Partie inférieure du corps de la statue, revêtu d'une robe avec des plis fins et serrés qui cachait les pieds dont il subsiste encore la cheville. (source : cat. sculptures de Notre-Dame de Paris, 1982)",,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Thirion J., 'Les plus anciennes sculptures de Notre-Dame de Paris', dans Comptes-rendus de l'Académie des inscriptions et belles-lettres, 1970, pp. 85-112 (p. 85-112)#Erlande-Brandenburg (A.), in Bulletin Monumental, 'Aspects du mécénat de Charles V : la sculpture décorative'. Paris : Société Française d'Archéologie, 1972., tome 130-IV, p. 303-346.#Erlande-Brandenburg et Kimpel, 'La statuaire de Notre-Dame de Paris avant les destructions révolutionnaires', 1978, p. 213-266.#Erlande-Brandenburg (Alain). - Les Sculptures de Notre-Dame de Paris au musée de Cluny. - Paris : Réunion des musées nationaux, 1982. - 131 p. : ill. ; 27 cm. (n° 64)",2007-03-30,,2026-02-23,,© RAUX ; © Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030025198,sculpture ; médiéval,"Cl. 22904 ; A.E.B. 19 (cat. sculptures de Notre-Dame, 1982) ; X.D. 86 (cat. sculpture romane, 2005)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,console d'architecture ; marmouset ; fragment,,"Statue-colonne, fragment (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,,"provient de la cathédrale Notre-Dame de Paris, portail sainte Anne",France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 36 ; Largeur en cm : 25 ; Profondeur en cm : 34,,,,calcaire lutétien,"figure (personnage, accroupi)","Console qui a conservé son lit de pose. Figure un personnage vraisemblablement accroupi à l'origine, dont il ne reste que l'épaule droite et l'avant-bras, revêtus d'une robe et d'un manteau, formant des plis autour du cou, la jambe droite et les pieds. La tête et la partie gauche ont disparu.",,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Thirion J., 'Les plus anciennes sculptures de Notre-Dame de Paris', dans Comptes-rendus de l'Académie des inscriptions et belles-lettres, 1970, pp. 85-112 (p. 85-112)#Erlande-Brandenburg et Kimpel, 'La statuaire de Notre-Dame de Paris avant les destructions révolutionnaires', 1978, p. 213-266.#Erlande-Brandenburg (Alain). - Les Sculptures de Notre-Dame de Paris au musée de Cluny. - Paris : Réunion des musées nationaux, 1982. - 131 p. : ill. ; 27 cm. (n° 19)#Erlande-Brandenburg, Revue du Louvre, 1985, 3 (p. 174-184)#Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°86, p. 96)",2007-03-30,,2026-02-23,,© RAUX ; © Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030025461,tapisserie ; médiéval,"OA 10297 b ; LAB 1118 (cat. Laborde, 1853)",M5003,EARM,fragment,,Hommes sauvages (fragment),anonyme,,,,Rhénanie,,2e quart 15e siècle,1440 vers,,,,oeuvre en rapport,"tapisserie en deux parties : OA 10297 a. Autres tapisseries sur ce thème des Hommes sauvages : Scène courtoise avec hommes sauvages (fragment) au musée de l'oeuvre Notre-Dame à Strasbourg (inv. 22.995.0.1030), et deux tapisseries rhénanes : Hommes et femmes sauvages au musée historique de Bâle, Hommes et femmes sauvages au musée des Arts Décoratifs de Cologne",,,,,,,,,,"laine, soie, chanvre",H. 36 ; L. 123,inscription (allemand),,,,"scène (homme, chien, arbre, fleur, plante)","scène profane; la pièce de tapisserie représente un homme tenant en laisse un chien, à la poursuite d'animaux. La scène se passe dans un espace naturel avec des arbres et des fleurs",,,,,dépôt ; Paris ; musée de Cluny,,,,,,fragment détaché lors de la restauration effectuée en 2000,,"Laborde (M. de ), Notice des émaux, bijoux et objets divers exposés dans les galeries du Musée du Louvre. t. I : Histoire et descriptions, Paris, 1852 t. II : Documents et glossaire, Paris, 1853 (p. 413) ; Göbel (H.), Wandteppiche : III Teil : Die germanischen und slawischen Länder, 2 vol., Leipzig, 1933 ; Kurth (B.), Die deutschen Bilteppiche des Mittelalters, Vienne, 1926 (Tafel 123 a, b) ; Rapp Buri (A.), Stucky-Schürer (M.), Zahm und wild, Basler und Stabburger, Bildteppiche des 15. Jahrhunderts, Mainz, 1993 (n° 99) ; Huchard (V.), 'Tapisseries rhénanes du XVè siècle', in Un mois, une oeuvre, novembre 1999",2002-07-11,,2026-02-23,,© Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030026386,médiéval ; croyances - coutumes ; ethnologie,"CL 4824 ; D.S. 8895 (cat. Du Sommerard, 1883 :) ; D.B. 84 (cat. enseignes, 1996 :)",M5003,propriété de l'Etat ; achat ; musée national du Moyen-Age - Thermes de Cluny,enseigne de pèlerinage ; ampoule de pèlerinage,,AMPOULE DE PELERINAGE : NOTRE DAME,,,,,,,2e moitié 15e siècle,,,,,,,Pas-de-Calais ; Boulogne-sur-mer (lieu d'exécution),,,,,"Paris (FORGEAIS Arthur, 1859, dragage)",,objet du culte : pèlerinage,,plomb (moulé) ; étain (moulé),H. 3.2 ; L. 2.6 ; E. 5,inscription concernant la représentation (latin),STE : MARIE : DE BOULOINGNE,,"Ampoule en forme de deux poches à deux anses, incomplète","figure biblique (Vierge, couronne, assis : bateau, préhension : église) ; figure biblique (Vierge à l'enfant, bénédiction ; orant : femme, agenouillé)","Sur une face, Vierge couronnée assise dans un bateau, tenant une église dans les mains. Sur l'autre face, Vierge à l'Enfant bénissant une orante agenouillée. Il s'agit probablement de la Vierge de Boulogne-sur-Mer, appelée Etoile des Mers#",,,1861,FORGEAIS Arthur,,,,,,,,,"Forgeais (A.) Collection de plombs historiés trouvés dans la Seine, tome I : Méreaux de corporration de métiers, Paris, 1862 tome II : Enseignes de pèlerinage, Paris, 1863 tome III : Variétés numismatiques, Paris, 1864 tome IV : Imagerie religieuse, Paris, 1865 tome V : Numismatique populaire, Paris, 1866 (t. II, p. 23-24) ; DU SOMMERARD (Edmond). - Catalogue et description des objets d'art, de l'Antiquité, du Moyen Age et de la Renaissance exposés au musée des thermes et de l'Hôtel de Cluny. - Paris : Hôtel de Cluny, 1883. - XXXIII-692 p. ; 22 cm. Cluny [8° X 48 à 8° X 56] (n° 8895) ; BRUNA (Denis). - Enseignes de pèlerinage et enseignes profanes au Musée national du Moyen Age. - Paris : Réunion des musées nationaux, 1996. - 383 p. : ill. ; 27 cm. Cluny [Usuel] (n° 84, p. 88)",2001-03-27,,2026-02-23,,© Réunion des musées nationaux - utilisation soumise à autorisation ; © Gérard Blot,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030026389,médiéval ; croyances - coutumes ; ethnologie,"CL 4825 ; D.S. 8896 (cat. Du Sommerard, 1883 :) ; D.B. 85 (cat. enseignes, 1996 :)",M5003,propriété de l'Etat ; achat ; musée national du Moyen-Age - Thermes de Cluny,enseigne de pèlerinage ; ampoule de pèlerinage,,AMPOULE DE PELERINAGE : NOTRE DAME,,,,,,,2e moitié 15e siècle,,,,,,,Pas-de-Calais ; Boulogne-sur-mer (lieu d'exécution),,,,,"Paris (FORGEAIS Arthur, dragage)",,objet du culte : pèlerinage,,plomb (moulé) ; étain (moulé),H. 2.2 ; L. 2.1 ; E. 0.5,"inscription (latin, latin)",[s]TE MARIE : DE BOULOINGN[e],,"ampoule en forme de poche, incomplète","figure biblique (Vierge, couronne, assis : bateau, préhension : église) ; figure biblique (Vierge à l'enfant ; bénédiction : orant, femme ; agenouillé)","Sur une face, Vierge couronnée assise dans un bateau, tenant une église dans les mains. Sur l'autre face, Vierge à l'Enfant bénissant une orante agenouillée. Il s'agit probablement de la Vierge de Boulogne-sur-Mer, appelée Etoile des Mers#",,,1861,FORGEAIS Arthur,,,,,,,,,"BRUNA (Denis). - Enseignes de pèlerinage et enseignes profanes au Musée national du Moyen Age. - Paris : Réunion des musées nationaux, 1996. 383 p. : ill. ; 27 cm. Cluny [Usuel] (n° 85, p. 88) ; DU SOMMERARD (Edmond). - Catalogue et description des objets d'art, de l'Antiquité, du Moyen Age et de la Renaissance exposés au musée des thermes et de l'Hôtel de Cluny. - Paris : Hôtel de Cluny, 1883. - XXXIII-692 p. ; 22 cm. Cluny [8° X 48 à 8° X 56] (n° 8896)",2001-03-27,,2026-02-23,,© Réunion des musées nationaux - utilisation soumise à autorisation ; © Gérard Blot,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030026392,médiéval ; croyances - coutumes ; ethnologie,"CL 4826 ; D.S. 8897 (cat. Du Sommerard, 1883 :) ; D.B. 83 (cat. enseignes, 1996 :)",M5003,propriété de l'Etat ; achat ; musée national du Moyen-Age - Thermes de Cluny,enseigne de pèlerinage ; ampoule de pèlerinage,,AMPOULE DE PELERINAGE : NOTRE DAME,,,,,,,2e moitié 15e siècle,,,,,,"Saint-Denis, U.A., 578 ; Cothen, collection V.B., 2061",Pas-de-Calais ; Boulogne-sur-mer (lieu d'exécution),,,,,"Paris (FORGEAIS Arthur, 1856, dragage)",,objet du culte : pèlerinage,,plomb (moulé) ; étain (moulé),H. 3.7 ; L. 3 ; E. 0.9,inscription concernant la représentation (latin),+ NOSTRE : DAME : DE : + ; (Au revers) ; BOLOIGNE : SEUR : MER,,,"figure biblique (Vierge à l'enfant, assis, couronne) ; ornement à forme géométrique (losange) ; ornement à forme végétale (feuille)","A l'avers, la Vierge couronnée, nimbée et assise, porte l'Enfant, également nimbé, sur son bras gauche. Le revers est orné de losanges enfermant chacun une petite feuille",,,1861,FORGEAIS Arthur,,,,,,,,,"Forgeais (A.) Collection de plombs historiés trouvés dans la Seine, tome I : Méreaux de corporration de métiers, Paris, 1862 tome II : Enseignes de pèlerinage, Paris, 1863 tome III : Variétés numismatiques, Paris, 1864 tome IV : Imagerie religieuse, Paris, 1865 tome V : Numismatique populaire, Paris, 1866 (t. II, p. 21-22) ; DU SOMMERARD (Edmond). - Catalogue et description des objets d'art, de l'Antiquité, du Moyen Age et de la Renaissance exposés au musée des thermes et de l'Hôtel de Cluny. - Paris : Hôtel de Cluny, 1883. - XXXIII-692 p. ; 22 cm. Cluny [8° X 48 à 8° X 56] (n° 8897) ; BRUNA (Denis). - Enseignes de pèlerinage et enseignes profanes au Musée national du Moyen Age. - Paris : Réunion des musées nationaux, 1996. - 383 p. : ill. ; 27 cm. Cluny [Usuel] (n° 83, p. 87)",2001-03-27,,2026-02-23,,© Réunion des musées nationaux - utilisation soumise à autorisation ; © Gérard Blot,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030028504,sculpture ; médiéval,"Cl. 22911 ; A. E. B. 26 (cat. sculptures de Notre-Dame, 1982) ; X.D. 93 (cat. sculpture romane, 2005)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,fragment ; statue-colonne,,"Statue-colonne, fragment de draperie (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,,"provient de la cathédrale Notre-Dame de Paris, portail sainte Anne (?)",France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 9 ; Diamètre en cm : 4 ; Epaisseur en cm : 2,,,,calcaire lutétien,"figure (Apôtre, draperie)",,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Erlande-Brandenburg (Alain). - Les Sculptures de Notre-Dame de Paris au musée de Cluny. - Paris : Réunion des musées nationaux, 1982. - 131 p. : ill. ; 27 cm. (n° 26)#Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°93, p. 99)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030028734,sculpture ; médiéval,"Cl. 22899 ; A.E.B. 13 (cat. sculptures de Notre-Dame, 1982) ; X.D. 82 (cat. sculpture romane, 2005)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,Statue : Reine de l'Ancien Testament (cathédrale Notre-Dame de Paris),anonyme,,,,France,,2e quart 12e siècle,1145 vers,,,,objet en rapport,provient de la cathédrale Notre-Dame de Paris ; voir aussi : Reine de l'Ancien Testament : Notre-Dame de Paris (Cl. 22892),France ; Ile-de-France ; Paris (lieu de création),,,,,,,,,calcaire,Hauteur en cm : 19 ; Largeur en cm : 9 ; Epaisseur en cm : 25,,,,calcaire lutétien,"figure (reine, manteau, robe)",Fragment du manteau de la statue d'une reine de l'Ancien Testament du portail de Sainte-Anne. Le manteau est traité en plis rectilignes et laisse deviner la robe. Sur la gauche 2 plis arrondis se terminant en queue de billard et départ de la colonne. Identifié grâce à la gravure de Montfaucon dans Monumens...,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Thirion J., 'Les plus anciennes sculptures de Notre-Dame de Paris', dans Comptes-rendus de l'Académie des inscriptions et belles-lettres, 1970, pp. 85-112 (p. 85-112)#Erlande-Brandenburg et Kimpel, 'La statuaire de Notre-Dame de Paris avant les destructions révolutionnaires', 1978, p. 213-266.#Erlande-Brandenburg (Alain). - Les Sculptures de Notre-Dame de Paris au musée de Cluny. - Paris : Réunion des musées nationaux, 1982. - 131 p. : ill. ; 27 cm. (n° 13)#Erlande-Brandenburg, Revue du Louvre, 1985, 3 (p. 174-184)#Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°82, p. 92)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030793,sculpture ; médiéval,"Cl. 22902 ; X.D. 84 (cat. sculpture romane, 2005) ; A.E.B. 17 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,"Statue-colonne, fragment (cathédrale Notre-Dame de Paris)",,,,,,,1ère moitié 13e siècle,1220 entre ; 1230 et,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 17.5 ; Largeur en cm : 14.5 ; Profondeur en cm : 5.7,,,,calcaire lutétien,partie du corps ; bras,Cette console présente l'épaule droite d'un personnage vêtu d'une robe à petits plis,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°84, p. 95)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030794,sculpture ; médiéval,"Cl. 22910 ; X.D. 92 (cat. sculpture romane, 2005) ; 25 (cat. sculpture romane, 2005)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,fragment ; statue,,"Statue-colonne, fragment (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 5 ; Largeur en cm : 12 ; Profondeur en cm : 3.8,,,,calcaire lutétien,,Fragment allongé comportant trois plis verticaux,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°92, p. 99)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030795,sculpture ; médiéval,"Cl. 22898 ; X.D. 82 (cat. sculpture romane, 2005) ; A.E.B. 12 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,fragment ; statue,,"Statue de femme, fragment (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,objet en rapport,provient de la cathédrale Notre-Dame de Paris ; voir aussi : Reine de l'Ancien Testament (Cl. 22892),France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 27.8 ; Largeur en cm : 10.8 ; Profondeur en cm : 11.4,,,,calcaire lutétien,bras ; femme,Poignet gauche et avant-bras d'une femme. Le fragment présente quelques traces de polychromie,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°82, p. 92)",2007-03-30,,2026-02-23,,© Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030796,sculpture ; médiéval,"Cl. 22907 ; X.D. 89 (cat. sculpture romane, 2005) ; A.E.B. 22 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,Fragment Statue-colonne (cathédrale Notre-Dame de Paris),,,,,,,2e quart 12e siècle,1145,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 9 ; Largeur en cm : 12 ; Profondeur en cm : 15.8,,,,calcaire lutétien ; fragment composé de deux morceaux recollés,,,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°89, p. 97)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
