REF,DOMN,INV,MUSEO,STAT,DENO,APPL,TITR,AUTR,ROLE,PAUT,GENRE,ECOL,ATTR,PERI,MILL,EPOQ,MILU,PEOC,GENE,HIST,LIEUX,PLIEUX,GEOHI,LOCA_PROV,PERU,DECV,PDEC,UTIL,PUTI,TECH,DIMS,INSC,PINS,ONOM,DESC,REPR,PREP,DREP,SREP,DACQ,APTN,DEPO,DDPT,ADPT,DATION,MANQUANT,MANQUANT_COM,COMM,EXPO,BIBL,DMIS,DMOIS,DMAJ,REDA,PHOT,DATA,LOCA3,IA,REFPAL,REFMEM,REFMER,REGION,DPT,VILLE_M,NOMOFF,LOCA,custom_LOCA
Référence de la notice,Domaine,Numéro d'inventaire,Lien Muséofile,Statut juridique,Dénomination,Appellation,Titre,Auteur,Rôle,Précisions sur l'auteur,Genre du ou des auteurs,École (pays),Anciennes attributions,Période de création,Millésime de création,Époque,Millésime d'utilisation,Période de l'original copié,Genèse,Historique,Lieu de création / utilisation,"Précisions sur le lieu de création, d'exécution ou d'utilisation",Lieu historique,Provenance du bien,Période d'utilisation,Découverte / collecte,Précisions sur la découverte ou la collecte,Utilisation / destination,Précisions sur l'utilisation,Matériaux et techniques,Mesures,Inscriptions,Précisions sur les inscriptions,Onomastique,Description,Sujet représenté,Précisions sur le sujet représenté,Date du sujet représenté,Source de la représentation,Date d'acquisition,Anciennes appartenances,Lieu de dépôt,Date de dépôt,Ancien dépôt,Dation,Situation particulière,Précisions sur une situation particulière,Commentaires,Exposition,Bibliographie,Date de création,Date de moissonnage de la notice,Date de mise à jour,Rédacteur de la notice,Crédits photographiques,Artiste sous droits,Année d'entrée dans le domaine public,Droits de reproduction et de représentation,Références Palissy liées,Références Mémoire liées,Références Mérimée liées,Région,Département,Ville,Nom du musée,Localisation,Lieu de conservation
M1104320171803,photographie ; arts graphiques,PH33322,M1104,,photographie (dénomination),,"Cathédrale Notre-Dame de Paris, façade occidentale, parvis, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 26.5 cm ; Largeur 20.8 cm ; Hauteur 39.8 cm ; Largeur 30 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171804,photographie ; arts graphiques,PH33321,M1104,,photographie (dénomination),,"Cathédrale Notre-Dame de Paris, façade occidentale, portail central ( portail du Jugement dernier ), 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 21.6 cm ; Largeur 16.1 cm ; Hauteur 32.7 cm ; Largeur 24.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171805,photographie ; arts graphiques,PH33323,M1104,,photographie (dénomination),,"Cathédrale Notre-Dame de Paris, façade occidentale, portail de gauche ( portail de la Vierge ), 4ème arrondissement, Paris.",Bisson Frères (-),,,,,,2e moitié du 19e siècle,En 1853,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 35.3 cm ; Largeur 24.2 cm ; Hauteur 50.2 cm ; Largeur 32.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171806,photographie ; arts graphiques,PH33326,M1104,,photographie (dénomination),,"Cathédrale Notre-Dame de Paris, histoire des archevêques de Paris, 3 vêtements, 4ème arrondissement, Paris.",Auguste Georges et Cie (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 22.7 cm ; Largeur 16.7 cm ; Hauteur 44.1 cm ; Largeur 32.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171807,photographie ; arts graphiques,PH33317,M1104,,photographie (dénomination),,"Intérieur, la nef, Cathédrale Notre-Dame de Paris, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 22.7 cm ; Largeur 17.4 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171808,photographie ; arts graphiques,PH33318,M1104,,carte postale,,"Intérieur, statue de Notre-Dame, cathédrale Notre-Dame de Paris, 4ème arrondissement, Paris.",AP (Editeur) (-) ; anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,,Hauteur 8.9 cm ; Largeur 14 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171809,photographie ; arts graphiques,PH33319,M1104,,carte postale,,"Intérieur, statue de Notre-Dame, cathédrale Notre-Dame de Paris, 4ème arrondissement, Paris.",Neurdein Frères (-) ; anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,,Hauteur 14.1 cm ; Largeur 8.8 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171810,photographie ; arts graphiques,PH33314,M1104,,photographie (dénomination),,"Intérieur, nef, Cathédrale Notre-Dame de Paris, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 25.8 cm ; Largeur 20 cm ; Hauteur 39.9 cm ; Largeur 29.9 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171813,photographie ; arts graphiques,PH33330,M1104,,photographie (dénomination),,"Cathédrale Notre-Dame et le Pont de l'Archevêché, pris du quai des Tournelles, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 23.5 cm ; Largeur 17.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171814,photographie ; arts graphiques,PH33311,M1104,,photographie (dénomination),,"Cathédrale Notre-Dame, façade occidentale, hôpital des Enfants-Trouvés à gauche et (ancienne) rue Neuve-Notre-Dame avant les travaux d'Haussmann, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,Entre 1860 et 1870,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 25.7 cm ; Largeur 21.7 cm ; Hauteur 39.7 cm ; Largeur 32.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
